subj subexpt related semint n2num errnd errd errcornd errcord list
98 SemRel nullrelated unint sing 0 0 2 2 2
99 SemRel nullrelated integ plur 1 1 2 2 3
99 SemRel nullrelated integ sing 0 0 4 4 3
99 SemRel nullrelated unint plur 1 1 3 3 3
99 SemRel nullrelated unint sing 0 0 2 2 3
100 SemRel nullrelated integ plur 1 1 4 4 4
100 SemRel nullrelated integ sing 0 0 5 5 4
100 SemRel nullrelated unint plur 0 0 3 3 4
100 SemRel nullrelated unint sing 0 0 5 5 4
101 SemRel nullrelated integ plur 0 0 3 3 5
101 SemRel nullrelated integ sing 0 0 2 2 5
101 SemRel nullrelated unint plur 0 0 1 1 5
101 SemRel nullrelated unint sing 0 0 3 3 5
102 SemRel nullrelated integ plur 0 0 2 2 6
102 SemRel nullrelated integ sing 0 0 3 3 6
102 SemRel nullrelated unint plur 0 0 2 2 6
102 SemRel nullrelated unint sing 0 0 0 0 6
103 SemRel nullrelated integ plur 0 0 3 4 7
103 SemRel nullrelated integ sing 0 0 6 6 7
103 SemRel nullrelated unint plur 0 0 3 3 7
103 SemRel nullrelated unint sing 0 0 5 5 7
104 SemRel nullrelated integ plur 0 0 2 2 8
104 SemRel nullrelated integ sing 0 0 4 4 8
104 SemRel nullrelated unint plur 0 0 2 2 8
104 SemRel nullrelated unint sing 0 0 3 3 8
105 SemRel nullrelated integ plur 0 0 1 1 1
105 SemRel nullrelated integ sing 0 0 3 3 1
105 SemRel nullrelated unint plur 0 0 1 1 1
105 SemRel nullrelated unint sing 0 0 5 5 1
106 SemRel nullrelated integ plur 0 0 1 1 2
106 SemRel nullrelated integ sing 0 0 2 2 2
106 SemRel nullrelated unint plur 0 0 1 1 2
106 SemRel nullrelated unint sing 0 0 2 3 2
107 SemRel nullrelated integ plur 0 0 3 3 3
107 SemRel nullrelated integ sing 0 0 5 5 3
107 SemRel nullrelated unint plur 0 0 4 5 3
107 SemRel nullrelated unint sing 0 0 5 5 3
108 SemRel nullrelated integ plur 0 0 2 2 4
108 SemRel nullrelated integ sing 0 0 3 3 4
108 SemRel nullrelated unint plur 0 0 0 0 4
108 SemRel nullrelated unint sing 0 0 3 3 4
109 SemRel nullrelated integ plur 0 0 4 4 5
109 SemRel nullrelated integ sing 0 0 5 5 5
109 SemRel nullrelated unint plur 0 0 1 2 5
109 SemRel nullrelated unint sing 0 0 2 5 5
110 SemRel nullrelated integ plur 0 0 2 3 6
110 SemRel nullrelated integ sing 0 0 3 4 6
110 SemRel nullrelated unint plur 1 1 5 5 6
110 SemRel nullrelated unint sing 0 0 2 2 6
111 SemRel nullrelated integ plur 0 0 1 1 7
111 SemRel nullrelated integ sing 0 0 2 2 7
111 SemRel nullrelated unint plur 0 0 1 1 7
111 SemRel nullrelated unint sing 0 0 4 4 7
113 SemRel nullrelated integ plur 0 0 3 3 1
113 SemRel nullrelated integ sing 0 0 4 4 1
113 SemRel nullrelated unint plur 0 0 4 4 1
113 SemRel nullrelated unint sing 0 0 2 3 1
114 SemRel nullrelated integ plur 1 1 5 5 2
114 SemRel nullrelated integ sing 0 0 2 2 2
114 SemRel nullrelated unint plur 0 0 4 4 2
114 SemRel nullrelated unint sing 0 0 4 4 2
115 SemRel nullrelated integ plur 0 0 3 4 3
115 SemRel nullrelated integ sing 0 0 2 3 3
115 SemRel nullrelated unint plur 0 1 1 2 3
115 SemRel nullrelated unint sing 0 0 0 3 3
116 SemRel nullrelated integ plur 0 0 0 1 4
116 SemRel nullrelated integ sing 0 0 3 3 4
116 SemRel nullrelated unint plur 0 0 1 1 4
116 SemRel nullrelated unint sing 0 0 4 4 4
117 SemRel nullrelated integ plur 0 1 2 4 5
117 SemRel nullrelated integ sing 0 0 3 4 5
117 SemRel nullrelated unint plur 1 1 5 6 5
117 SemRel nullrelated unint sing 0 0 3 6 5
118 SemRel nullrelated integ plur 0 1 2 3 6
118 SemRel nullrelated integ sing 0 0 0 1 6
118 SemRel nullrelated unint plur 0 0 1 1 6
118 SemRel nullrelated unint sing 0 0 0 1 6
119 SemRel nullrelated integ plur 1 3 2 4 7
119 SemRel nullrelated integ sing 0 0 1 3 7
119 SemRel nullrelated unint plur 0 1 2 3 7
119 SemRel nullrelated unint sing 0 0 1 1 7
120 SemRel nullrelated integ plur 0 0 2 2 8
120 SemRel nullrelated integ sing 0 0 3 3 8
120 SemRel nullrelated unint plur 0 0 2 2 8
120 SemRel nullrelated unint sing 0 0 1 1 8
122 SemRel nullrelated integ plur 1 1 3 4 2
122 SemRel nullrelated integ sing 0 0 1 1 2
122 SemRel nullrelated unint plur 0 0 5 5 2
122 SemRel nullrelated unint sing 0 0 3 4 2
123 SemRel nullrelated integ plur 0 0 0 0 3
123 SemRel nullrelated integ sing 0 0 2 2 3
123 SemRel nullrelated unint plur 3 3 4 4 3
123 SemRel nullrelated unint sing 0 0 2 2 3
124 SemRel nullrelated integ plur 0 0 3 5 4
124 SemRel nullrelated integ sing 0 0 4 5 4
124 SemRel nullrelated unint plur 0 0 3 3 4
124 SemRel nullrelated unint sing 0 0 3 5 4
125 SemRel nullrelated integ plur 0 0 3 4 5
125 SemRel nullrelated integ sing 0 0 1 1 5
125 SemRel nullrelated unint plur 0 0 3 5 5
125 SemRel nullrelated unint sing 0 0 3 3 5
126 SemRel nullrelated integ plur 0 0 2 2 6
126 SemRel nullrelated integ sing 0 0 6 6 6
126 SemRel nullrelated unint plur 0 1 3 4 6
126 SemRel nullrelated unint sing 0 0 3 4 6
127 SemRel nullrelated integ plur 0 0 4 4 7
127 SemRel nullrelated integ sing 0 0 1 1 7
127 SemRel nullrelated unint plur 1 1 3 3 7
127 SemRel nullrelated unint sing 0 0 3 3 7
128 SemRel nullrelated integ plur 2 2 2 2 8
128 SemRel nullrelated integ sing 0 0 2 3 8
128 SemRel nullrelated unint plur 2 2 4 5 8
128 SemRel nullrelated unint sing 0 0 1 1 8
129 SemRel nullrelated integ plur 0 0 1 1 1
129 SemRel nullrelated integ sing 0 0 3 3 1
129 SemRel nullrelated unint plur 1 1 1 2 1
129 SemRel nullrelated unint sing 0 0 2 4 1
130 SemRel nullrelated integ plur 0 0 3 3 2
130 SemRel nullrelated integ sing 0 0 2 3 2
130 SemRel nullrelated unint plur 0 0 5 5 2
130 SemRel nullrelated unint sing 0 0 2 2 2
131 SemRel nullrelated integ plur 0 0 3 3 3
131 SemRel nullrelated integ sing 0 0 5 5 3
131 SemRel nullrelated unint plur 0 0 3 3 3
131 SemRel nullrelated unint sing 0 0 3 3 3
132 SemRel nullrelated integ plur 0 0 5 5 4
132 SemRel nullrelated integ sing 0 0 2 2 4
132 SemRel nullrelated unint plur 0 0 1 1 4
132 SemRel nullrelated unint sing 0 0 2 2 4
133 SemRel nullrelated integ plur 1 1 1 1 5
133 SemRel nullrelated integ sing 0 0 0 0 5
133 SemRel nullrelated unint plur 1 1 3 3 5
133 SemRel nullrelated unint sing 0 0 2 2 5
134 SemRel nullrelated integ plur 0 0 3 3 6
134 SemRel nullrelated integ sing 0 0 2 2 6
134 SemRel nullrelated unint plur 0 0 3 3 6
134 SemRel nullrelated unint sing 0 0 2 2 6
135 SemRel nullrelated integ plur 1 1 4 4 7
135 SemRel nullrelated integ sing 0 0 4 4 7
135 SemRel nullrelated unint plur 0 0 4 4 7
135 SemRel nullrelated unint sing 0 0 5 5 7
136 SemRel nullrelated integ plur 1 1 5 6 8
136 SemRel nullrelated integ sing 0 0 4 5 8
136 SemRel nullrelated unint plur 0 0 5 6 8
136 SemRel nullrelated unint sing 0 0 5 5 8
137 SemRel nullrelated integ plur 1 1 5 5 1
