S	subexp	semint	related	n2num	end	errd	cnd	errcord	list
223	SemRel	integ	unrel	plur	1	1	1	1	7
224	SemRel	integ	unrel	plur	0	0	1	1	8
225	SemRel	integ	unrel	plur	1	1	3	3	1
226	SemRel	integ	unrel	plur	0	0	1	1	2
227	SemRel	integ	unrel	plur	0	0	0	0	3
228	SemRel	integ	unrel	plur	0	0	2	2	4
229	SemRel	integ	unrel	plur	0	0	1	1	5
230	SemRel	integ	unrel	plur	0	0	2	2	6
231	SemRel	integ	unrel	plur	0	0	1	1	7
232	SemRel	integ	unrel	plur	0	0	2	2	8
233	SemRel	integ	unrel	plur	0	1	1	2	1
234	SemRel	integ	unrel	plur	0	0	2	2	2
235	SemRel	integ	unrel	plur	0	0	2	2	3
236	SemRel	integ	unrel	plur	0	0	1	1	4
237	SemRel	integ	unrel	plur	0	0	1	1	5
238	SemRel	integ	unrel	plur	0	0	0	0	6
239	SemRel	integ	unrel	plur	0	0	0	0	7
240	SemRel	integ	unrel	plur	0	0	0	0	8
241	SemRel	integ	unrel	plur	0	0	1	1	1
242	SemRel	integ	unrel	plur	0	0	0	0	2
243	SemRel	integ	unrel	plur	0	0	3	3	3
244	SemRel	integ	unrel	plur	0	0	1	2	4
1	SemRel	unint	rel	plur	0	0	1	1	1
2	SemRel	unint	rel	plur	0	0	0	0	2
3	SemRel	unint	rel	plur	0	0	2	2	3
4	SemRel	unint	rel	plur	0	0	0	1	4
5	SemRel	unint	rel	plur	0	0	1	2	5
6	SemRel	unint	rel	plur	0	0	0	1	6
7	SemRel	unint	rel	plur	0	0	0	1	7
8	SemRel	unint	rel	plur	0	0	3	3	8
9	SemRel	unint	rel	plur	0	0	1	1	1
10	SemRel	unint	rel	plur	0	0	1	1	2
11	SemRel	unint	rel	plur	0	0	0	0	3
12	SemRel	unint	rel	plur	0	0	2	3	4
13	SemRel	unint	rel	plur	1	1	1	1	5
14	SemRel	unint	rel	plur	0	0	2	2	6
15	SemRel	unint	rel	plur	0	0	1	1	7
16	SemRel	unint	rel	plur	0	0	1	2	8
17	SemRel	unint	rel	plur	0	0	1	1	1
18	SemRel	unint	rel	plur	0	0	0	0	2
19	SemRel	unint	rel	plur	0	0	1	1	3
20	SemRel	unint	rel	plur	0	0	1	1	4
21	SemRel	unint	rel	plur	0	0	2	2	5
22	SemRel	unint	rel	plur	0	0	0	0	6
23	SemRel	unint	rel	plur	0	0	2	2	7
24	SemRel	unint	rel	plur	0	0	2	2	8
25	SemRel	unint	rel	plur	0	0	0	1	1
26	SemRel	unint	rel	plur	1	1	2	2	2
27	SemRel	unint	rel	plur	0	0	0	0	3
28	SemRel	unint	rel	plur	0	0	0	0	4
29	SemRel	unint	rel	plur	0	0	2	2	5
30	SemRel	unint	rel	plur	0	0	1	1	6
31	SemRel	unint	rel	plur	0	0	1	2	7
32	SemRel	unint	rel	plur	1	2	2	3	8
33	SemRel	unint	rel	plur	0	0	0	0	1
34	SemRel	unint	rel	plur	0	0	0	0	2
35	SemRel	unint	rel	plur	0	0	0	0	3
36	SemRel	unint	rel	plur	0	0	2	2	4
37	SemRel	unint	rel	plur	0	0	0	0	5
38	SemRel	unint	rel	plur	0	0	1	2	6
39	SemRel	unint	rel	plur	0	0	1	1	7
40	SemRel	unint	rel	plur	0	0	3	3	8
41	SemRel	unint	rel	plur	0	0	2	2	1
42	SemRel	unint	rel	plur	0	0	1	2	2
43	SemRel	unint	rel	plur	0	0	1	1	3
44	SemRel	unint	rel	plur	0	0	2	2	4
45	SemRel	unint	rel	plur	0	0	2	2	5
46	SemRel	unint	rel	plur	0	0	3	3	6
47	SemRel	unint	rel	plur	0	0	1	1	7
48	SemRel	unint	rel	plur	0	0	2	2	8
49	SemRel	unint	rel	plur	0	0	0	0	1
51	SemRel	unint	rel	plur	0	0	2	2	3
52	SemRel	unint	rel	plur	1	1	1	1	4
53	SemRel	unint	rel	plur	0	0	2	2	5
54	SemRel	unint	rel	plur	0	0	1	2	6
