subj	subexpt	semint	related	n2num	errnd	errd	errcornd	errcord
109	Cat	unint	rel	sing	0	0	2	2
109	Cat	unint	unrel	plur	0	0	1	1
109	Cat	unint	unrel	sing	0	0	1	1
110	Cat	unint	rel	plur	0	0	3	3
110	Cat	unint	rel	sing	0	0	5	5
110	Cat	unint	unrel	plur	0	0	3	4
110	Cat	unint	unrel	sing	0	0	4	4
111	Cat	unint	rel	plur	3	3	5	6
111	Cat	unint	rel	sing	0	0	3	3
111	Cat	unint	unrel	plur	0	0	6	6
111	Cat	unint	unrel	sing	0	0	6	6
112	Cat	unint	rel	plur	0	0	4	4
112	Cat	unint	rel	sing	0	0	6	6
112	Cat	unint	unrel	plur	0	0	4	5
112	Cat	unint	unrel	sing	0	0	5	6
113	Cat	unint	rel	plur	0	0	3	3
113	Cat	unint	rel	sing	0	0	4	4
113	Cat	unint	unrel	plur	0	0	5	5
113	Cat	unint	unrel	sing	0	0	2	2
114	Cat	unint	rel	plur	1	1	4	4
114	Cat	unint	rel	sing	0	0	3	4
114	Cat	unint	unrel	plur	0	0	2	2
114	Cat	unint	unrel	sing	0	0	4	4
115	Cat	unint	rel	plur	0	0	1	3
115	Cat	unint	rel	sing	0	0	2	2
115	Cat	unint	unrel	plur	0	0	1	2
115	Cat	unint	unrel	sing	0	0	2	3
116	Cat	unint	rel	plur	0	0	2	2
116	Cat	unint	rel	sing	0	0	5	5
116	Cat	unint	unrel	plur	0	0	1	1
116	Cat	unint	unrel	sing	0	0	0	0
117	Cat	unint	rel	plur	0	0	4	4
117	Cat	unint	rel	sing	0	0	2	2
117	Cat	unint	unrel	plur	0	0	2	2
117	Cat	unint	unrel	sing	0	0	4	4
118	Cat	unint	rel	plur	0	0	3	3
118	Cat	unint	rel	sing	0	0	2	2
118	Cat	unint	unrel	plur	0	0	4	4
118	Cat	unint	unrel	sing	0	0	5	5
119	Cat	unint	rel	plur	0	0	4	4
119	Cat	unint	rel	sing	0	0	3	3
119	Cat	unint	unrel	plur	0	0	4	4
119	Cat	unint	unrel	sing	0	0	2	2
121	Cat	unint	rel	plur	0	0	2	2
121	Cat	unint	rel	sing	0	0	3	4
121	Cat	unint	unrel	plur	0	0	2	2
121	Cat	unint	unrel	sing	0	0	2	3
122	Cat	unint	rel	plur	0	0	4	4
122	Cat	unint	rel	sing	0	0	4	4
122	Cat	unint	unrel	plur	0	0	4	5
122	Cat	unint	unrel	sing	0	0	3	4
124	Cat	unint	rel	plur	0	0	2	2
124	Cat	unint	rel	sing	0	0	4	4
124	Cat	unint	unrel	plur	0	0	2	3
124	Cat	unint	unrel	sing	0	0	5	5
125	Cat	unint	rel	plur	0	0	2	2
125	Cat	unint	rel	sing	0	0	2	2
125	Cat	unint	unrel	plur	1	1	3	3
125	Cat	unint	unrel	sing	0	0	3	3
126	Cat	unint	rel	plur	0	0	3	3
126	Cat	unint	rel	sing	0	0	5	5
126	Cat	unint	unrel	plur	0	0	3	3
126	Cat	unint	unrel	sing	0	0	4	5
127	Cat	unint	rel	plur	0	0	2	3
127	Cat	unint	rel	sing	0	0	2	3
127	Cat	unint	unrel	plur	1	1	3	3
