S	subexp	related	n2num	end	errd	cnd	errcord	list
97	Prop	unrel	plur	0	0	2	2	1
98	Prop	unrel	plur	0	0	4	4	2
99	Prop	unrel	plur	0	0	3	4	3
100	Prop	unrel	plur	0	0	4	4	4
101	Prop	unrel	plur	0	0	2	2	5
102	Prop	unrel	plur	1	1	2	2	6
103	Prop	unrel	plur	0	0	4	4	1
104	Prop	unrel	plur	0	0	3	3	2
105	Prop	unrel	plur	0	0	2	2	3
106	Prop	unrel	plur	0	0	3	3	4
107	Prop	unrel	plur	0	0	4	4	5
108	Prop	unrel	plur	0	0	3	4	6
109	Prop	unrel	plur	0	0	3	3	1
110	Prop	unrel	plur	0	0	3	3	2
111	Prop	unrel	plur	0	0	3	3	3
112	Prop	unrel	plur	0	0	3	3	4
113	Prop	unrel	plur	0	0	3	3	5
114	Prop	unrel	plur	0	0	3	3	6
115	Prop	unrel	plur	0	0	4	4	1
116	Prop	unrel	plur	0	0	3	3	2
117	Prop	unrel	plur	0	0	1	1	3
118	Prop	unrel	plur	0	0	3	3	4
119	Prop	unrel	plur	0	0	2	2	5
121	Prop	unrel	plur	0	0	3	3	1
122	Prop	unrel	plur	0	0	3	3	2
124	Prop	unrel	plur	0	0	2	2	4
125	Prop	unrel	plur	0	0	3	3	5
126	Prop	unrel	plur	0	0	2	2	6
127	Prop	unrel	plur	0	0	0	0	1
128	Prop	unrel	plur	0	0	4	4	2
129	Prop	unrel	plur	0	0	4	4	3
130	Prop	unrel	plur	0	0	2	3	4
131	Prop	unrel	plur	0	0	3	3	5
132	Prop	unrel	plur	0	0	3	4	6
133	Prop	unrel	plur	0	0	4	4	1
134	Prop	unrel	plur	0	0	2	2	2
