subject,text,exp,integrated,related.x,n2num.x,maincode,dysfluency,integ,len.char,len.phon,len.syll,lf.head,lf.prep,lf.adj,lf.noun,rel.hl,rel.lh,asso,plaus,animacy,LengthChar.Head,LengthChar.Prep,LengthChar.Adj,LengthChar.Noun,LengthPhon.Head,LengthPhon.Prep,LengthPhon.Adj,LengthPhon.Noun,LengthSylHead,LengthSyll.Prep,LengthSyll.Adj,LengthSyll.Noun,Freq1Mil.Head,FreqMil.Prep,FreqMil.Adj,FreqMil.N1,LogFr.Head,LogFreq.Prep,LogFreq.Adj,LogFreq.N1,RelatedHL,RelatedLH,Integrated,Ass..H.L,Ass..L.HP,Ass..L.HS,AssArc.H.L,AssArc.L.HP,AssArc.L.HS,Plausibility
1004,The fork near the plastic lemon,Cat,unint,unrel,sing,C,,-1.35410261,-0.590996925,-0.271546336,-0.596427444,-0.119682103,-0.741949609,0.606803431,0.565274656,-1.457534374,-1.680944375,0,4.54,I,4,4,7,5,4,3,7,5,1,1,2,2,8.8,59.14,18.76,11.67,0.99,1.78,1.3,1.1,1.75,1.42,2.17,0,0,0,0,0,0,4.54
1004,The futon near the dirty recliners,Cat,unint,rel,plur,C,,-0.661348059,0.311260467,0.980713283,0.850748237,-1.570643052,-0.741949609,1.359278097,-1.480206089,0.118387032,0.718385416,0,5.42,I,5,4,5,9,5,3,5,10,2,1,2,3,0.67,59.14,58.76,0.04,0.22,1.78,1.78,0.02,4.42,5.42,3,0,0,0,0,0,0,5.42
1004,The kayak beside the large flagpoles,Cat,unint,unrel,plur,C,,-1.287331087,0.912765395,1.293778188,0.127160397,-1.646017647,-1.364168082,1.077100097,-1.480206089,-1.705432124,-1.63295778,0,4.04,I,5,6,5,9,5,6,5,8,2,2,1,2,0.51,14.96,38.49,0.06,0.18,1.2,1.6,0.02,1.33,1.5,2.25,0,0,0,0,0,0,4.04
1004,The kiwi beside the fake peach,Cat,unint,rel,sing,C,,-0.803237546,-0.891749388,-0.897676145,-0.596427444,-1.514112106,-1.364168082,0.888981431,0.110723379,0.265945217,0.568427304,0,4.58,I,4,6,4,5,4,6,3,4,2,2,1,1,0.76,14.96,29.22,6.29,0.25,1.2,1.48,0.86,4.67,5.17,2.83,0,0,0,0,0,0,4.58
1004,The knife beside the heavy can,Cat,unint,unrel,sing,C,,-1.35410261,-0.891749388,-0.897676145,-0.596427444,1.180529656,-1.364168082,1.202512542,1.000886296,-1.357194809,-0.88316722,0,5.33,I,5,6,5,3,4,6,4,3,1,2,2,1,46.55,14.96,47.04,20.29,1.68,1.2,1.68,1.33,1.92,2.75,2.17,0,0,0,0,0,0,5.33
1004,The magazine under the tattered necklace,Cat,unint,unrel,sing,C,,-1.036937876,2.11577525,1.293778188,1.574336078,0.897874925,-0.109003232,-1.290059788,0.4326972,-0.967641203,-0.631237592,0,4.63,I,8,5,8,8,7,5,6,6,3,2,2,2,33.14,235.35,0.24,9.71,1.53,2.37,0.09,1.03,2.58,3.17,2.55,0,0,0,0,0,0,4.63
1004,The monastery near the ancient castle,Cat,unint,unrel,sing,C,,0.031406491,1.213517858,1.293778188,1.574336078,-0.722678861,-0.741949609,0.685186209,1.000886296,-0.277068901,-0.085390064,0,6.04,I,9,4,7,6,9,3,7,5,4,1,2,2,3.69,59.14,21.61,20.29,0.67,1.78,1.35,1.33,3.75,4.08,3.83,0,0,0,0,0,0,6.04
1004,The monk near the talkative cardinals,Cat,unint,rel,plur,C,,-1.420874133,1.213517858,0.980713283,0.850748237,-0.553086023,-0.741949609,-0.992205233,-1.120352995,-0.867301638,0.166539564,0,4.75,A,4,4,9,9,4,3,7,9,1,1,3,3,4.76,59.14,0.9,0.61,0.76,1.78,0.28,0.21,2.75,4.5,2.09,0,0,0,0,0,0,4.75
1004,The motorcycle near the painted bus,Cat,unint,rel,sing,C,,-1.036937876,0.612012931,0.980713283,0.850748237,-0.138525752,-0.741949609,-0.819763122,2.023626668,-0.277068901,0.21452616,0,5.46,I,10,4,7,3,11,3,6,3,4,1,2,1,8.63,59.14,1.45,73.51,0.98,1.78,0.39,1.87,3.75,4.58,2.55,0,0,0,0,0,0,5.46
1004,The saw by the oily wrenches,Cat,unint,rel,plur,C,,-0.519458573,-1.493254316,-1.21074105,-0.596427444,-0.289274942,0.652678003,-0.976528677,-1.328688997,0.360382454,0.016581452,0,5.5,I,3,2,4,8,2,3,4,7,1,1,2,2,6.92,1212.84,0.94,0.25,0.9,3.08,0.29,0.1,4.83,4.25,3.17,0,0,0,0,0,0,5.5
1004,The saxophone beside the ornate pianos,Cat,unint,rel,plur,C,,0.031406491,1.514270322,1.606843093,2.297923919,-1.17492643,-1.364168082,-1.305736343,-1.044594449,0.708619769,0.364484272,0,5.67,I,9,6,6,6,8,6,5,6,3,2,2,3,1.69,14.96,0.2,0.78,0.43,1.2,0.08,0.25,5.42,4.83,3.83,0,0,0,0,0,0,5.67
1004,The shovel near the cracked boulders,Cat,unint,unrel,plur,C,,-0.177254518,0.912765395,0.041518569,-0.596427444,-0.383493185,-0.741949609,-0.882469344,-1.252930451,-0.820083019,-1.63295778,0,4.96,I,6,4,7,8,5,3,5,7,2,1,1,2,6.06,59.14,1.25,0.39,0.85,1.78,0.35,0.14,2.83,1.5,3.58,0,0,0,0,0,0,4.96
1004,The spatula by the greasy strainer,Cat,unint,rel,sing,C,,0.173295977,0.311260467,0.980713283,0.850748237,-1.551799403,0.652678003,-0.349466456,-1.30974936,0.018047467,-0.385306288,0,5.25,I,7,2,6,8,8,3,5,7,3,1,2,2,0.71,1212.84,3.88,0.27,0.23,3.08,0.69,0.11,4.25,3.58,4,0,0,0,0,0,0,5.25
